2026-01-08T14:16:24.515268200 - SỐ LƯỢT TRUY CẬP: 1 | Thao tác: list
2026-01-08T14:16:43.408585800 - SỐ LƯỢT TRUY CẬP: 2 | Thao tác: detail
2026-01-08T14:16:47.141927200 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T14:16:47.176066500 - SỐ LƯỢT TRUY CẬP: 3 | Thao tác: borrow
2026-01-08T14:16:47.258088800 - SỐ LƯỢT TRUY CẬP: 4 | Thao tác: list
2026-01-08T14:16:58.141797300 - SỐ LƯỢT TRUY CẬP: 5 | Thao tác: returnForm
2026-01-08T14:17:07.133966100 - THAY ĐỔI TRẠNG THÁI: Trả sách | BookService.returnBook(..)
2026-01-08T14:17:07.156629400 - SỐ LƯỢT TRUY CẬP: 6 | Thao tác: returnBook
2026-01-08T14:17:07.173835800 - SỐ LƯỢT TRUY CẬP: 7 | Thao tác: list
2026-01-08T14:25:08.499801300 - SỐ LƯỢT TRUY CẬP: 1 | Thao tác: list
2026-01-08T14:25:28.178360300 - SỐ LƯỢT TRUY CẬP: 2 | Thao tác: detail
2026-01-08T14:25:33.902243600 - SỐ LƯỢT TRUY CẬP: 3 | Thao tác: list
2026-01-08T14:25:38.649733600 - SỐ LƯỢT TRUY CẬP: 4 | Thao tác: detail
2026-01-08T14:56:34.867562400 - SỐ LƯỢT TRUY CẬP: 5 | Thao tác: detail
2026-01-08T14:56:41.576402700 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T14:56:41.629678400 - SỐ LƯỢT TRUY CẬP: 6 | Thao tác: borrow
2026-01-08T14:56:41.742292100 - SỐ LƯỢT TRUY CẬP: 7 | Thao tác: list
2026-01-08T15:23:08.964022900 - SỐ LƯỢT TRUY CẬP: 1 | Thao tác: list
2026-01-08T15:23:10.251438400 - SỐ LƯỢT TRUY CẬP: 2 | Thao tác: list
2026-01-08T15:23:10.323415400 - SỐ LƯỢT TRUY CẬP: 3 | Thao tác: list
2026-01-08T15:23:11.469150600 - SỐ LƯỢT TRUY CẬP: 4 | Thao tác: list
2026-01-08T15:23:12.469693700 - SỐ LƯỢT TRUY CẬP: 5 | Thao tác: list
2026-01-08T15:23:13.329340400 - SỐ LƯỢT TRUY CẬP: 6 | Thao tác: list
2026-01-08T15:23:14.034280600 - SỐ LƯỢT TRUY CẬP: 7 | Thao tác: list
2026-01-08T15:23:14.469811500 - SỐ LƯỢT TRUY CẬP: 8 | Thao tác: list
2026-01-08T15:24:41.901795900 - SỐ LƯỢT TRUY CẬP: 9 | Thao tác: detail
2026-01-08T15:24:43.673867600 - SỐ LƯỢT TRUY CẬP: 10 | Thao tác: borrow
2026-01-08T15:24:43.714024800 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T15:24:43.922626400 - SỐ LƯỢT TRUY CẬP: 11 | Thao tác: list
2026-01-08T15:24:52.885698500 - SỐ LƯỢT TRUY CẬP: 12 | Thao tác: returnForm
2026-01-08T15:24:57.241861800 - SỐ LƯỢT TRUY CẬP: 13 | Thao tác: returnBook
2026-01-08T15:24:57.494328200 - THAY ĐỔI TRẠNG THÁI: Trả sách | BookService.returnBook(..)
2026-01-08T15:24:57.533854200 - SỐ LƯỢT TRUY CẬP: 14 | Thao tác: list
2026-01-08T15:25:04.169587500 - SỐ LƯỢT TRUY CẬP: 15 | Thao tác: detail
2026-01-08T15:25:05.876718700 - SỐ LƯỢT TRUY CẬP: 16 | Thao tác: borrow
2026-01-08T15:25:05.887840800 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T15:25:05.907121 - SỐ LƯỢT TRUY CẬP: 17 | Thao tác: list
2026-01-08T15:25:09.397004600 - SỐ LƯỢT TRUY CẬP: 18 | Thao tác: returnForm
2026-01-08T15:25:11.671926800 - SỐ LƯỢT TRUY CẬP: 19 | Thao tác: returnBook
2026-01-08T15:25:11.685812600 - THAY ĐỔI TRẠNG THÁI: Trả sách | BookService.returnBook(..)
2026-01-08T15:25:11.711494800 - SỐ LƯỢT TRUY CẬP: 20 | Thao tác: list
2026-01-08T15:25:14.740136700 - SỐ LƯỢT TRUY CẬP: 21 | Thao tác: detail
2026-01-08T15:25:15.800049 - SỐ LƯỢT TRUY CẬP: 22 | Thao tác: borrow
2026-01-08T15:25:15.816261500 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T15:25:15.837606700 - SỐ LƯỢT TRUY CẬP: 23 | Thao tác: list
2026-01-08T15:25:22.025468200 - SỐ LƯỢT TRUY CẬP: 24 | Thao tác: returnForm
2026-01-08T15:25:25.231787200 - SỐ LƯỢT TRUY CẬP: 25 | Thao tác: returnBook
2026-01-08T15:25:25.247777900 - THAY ĐỔI TRẠNG THÁI: Trả sách | BookService.returnBook(..)
2026-01-08T15:25:25.269611700 - SỐ LƯỢT TRUY CẬP: 26 | Thao tác: list
2026-01-08T15:31:21.888682200 - SỐ LƯỢT TRUY CẬP: 27 | Thao tác: detail
2026-01-08T15:31:58.459524 - SỐ LƯỢT TRUY CẬP: 28 | Thao tác: detail
2026-01-08T15:31:59.478479200 - SỐ LƯỢT TRUY CẬP: 29 | Thao tác: borrow
2026-01-08T15:31:59.508031 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T15:31:59.519485600 - SỐ LƯỢT TRUY CẬP: 30 | Thao tác: list
2026-01-08T15:32:01.887068900 - SỐ LƯỢT TRUY CẬP: 31 | Thao tác: detail
2026-01-08T15:32:03.266355700 - SỐ LƯỢT TRUY CẬP: 32 | Thao tác: borrow
2026-01-08T15:32:03.274068500 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T15:32:03.280687200 - SỐ LƯỢT TRUY CẬP: 33 | Thao tác: list
2026-01-08T15:32:09.604416500 - SỐ LƯỢT TRUY CẬP: 34 | Thao tác: returnForm
2026-01-08T15:32:12.093960400 - SỐ LƯỢT TRUY CẬP: 35 | Thao tác: returnBook
2026-01-08T15:32:12.122347100 - THAY ĐỔI TRẠNG THÁI: Trả sách | BookService.returnBook(..)
2026-01-08T15:32:12.132008700 - SỐ LƯỢT TRUY CẬP: 36 | Thao tác: list
2026-01-08T15:32:33.703830300 - SỐ LƯỢT TRUY CẬP: 37 | Thao tác: detail
2026-01-08T15:32:34.962334900 - SỐ LƯỢT TRUY CẬP: 38 | Thao tác: borrow
2026-01-08T15:32:34.967090800 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T15:32:34.983318200 - SỐ LƯỢT TRUY CẬP: 39 | Thao tác: list
